"When Database Meets New Storage Devices: Understanding and Exposing Performance Mismatches via Configurations",,"['Haochen He', 'Erci Xu', 'Shanshan Li', 'Zhouyang Jia', 'Si Zheng', 'Yue Yu', 'Jun Ma', 'Xiangke Liao']",2023.12,49th International Conference on Very Large Data Bases,VLDB'23 (CCF-A),https://www.vldb.org/pvldb/vol16/p1712-he.pdf,https://github.com/TimHe95/S3M,,,
"Understanding and Detecting On-the-Fly Configuration Bugs",Distinguished Paper Award,"['Teng Wang', 'Zhouyang Jia', 'Shanshan Li', 'Si Zheng', 'Yue Yu', 'Erci Xu', 'Shaoliang Peng', 'Xiangke Liao']",2023.10,45th IEEE/ACM International Conference on Software Engineering,ICSE'23 (CCF-A),https://leopard-lab.github.io/paper/icse23-Parachute.pdf,https://github.com/wangteng13/Parachute,,,
"NVMe SSD Failures in the Field: the Fail-Stop and the Fail-Slow",,"['Ruiming Lu', 'Erci Xu (co-first)', 'Yiming Zhang', 'Zhaosheng Zhu', 'Mengtian Wang', 'Zongpeng Zhu', 'Guangtao Xue', 'Minglu Li', 'Jiesheng Wu']",2022.6,2022 USENIX Annual Technical Conference,ATC'22 (CCF-A),https://www.usenix.org/system/files/atc22-lu.pdfx,,https://tianchi.aliyun.com/dataset/128972,https://www.usenix.org/sites/default/files/conference/protected-files/atc22_slides_lu.pdf,https://youtu.be/wDS-CRyTDlA
"imDedup: A Lossless Deduplication Scheme to Eliminate Fine-grained Redundancy among Images",,"['Cai Deng', 'Qi Chen', 'Xiangyu Zou', 'Erci Xu', 'Bo Tang', 'Wen Xia']",2022.5,38th IEEE International Conference on Data Engineering,ICDE'22 (CCF-A),https://ieeexplore.ieee.org/document/9835287,,,,
"Challenges and Opportunities: an In-depth Empirical Study on Configuration Error Injection Testing",,"['Wang Li', 'Zhouyang Jia', 'Shanshan Li', 'Yuanliang Zhang', 'Teng Wang', 'Erci Xu', 'Ji Wang', 'Xiangke Liao']",2021.8,30th ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA'21 (CCF-A),https://dl.acm.org/doi/abs/10.1145/3460319.3464799,https://github.com/ConfEIT-code/CeitInspector,,,
"Max: A Multicore-Accelerated File System for Flash Storage",,"['Xiaojian Liao', 'Youyou Lu', 'Erci Xu', 'Jiwu Shu']",2021.6,2021 USENIX Annual Technical Conference,ATC'21 (CCF-A),https://www.usenix.org/system/files/atc21-liao.pdf,https://github.com/thustorage/max,,https://www.usenix.org/system/files/atc21_slides_liao_0.pdf,https://youtu.be/F6-0rFGHPSI
"Concordia: Distributed Shared Memory with In-network Cache Coherence",,"['Qing Wang', 'Youyou Lu', 'Erci Xu', 'Junru Li', 'Youmin Chen', 'Jiwu Shu']",2021.2,19th USENIX Conference on File and Storage Technologies.,FAST'21 (CCF-A),https://www.usenix.org/system/files/fast21-wang.pdf,,,https://www.usenix.org/sites/default/files/conference/protected-files/fast21_slides_wang.pdf,https://youtu.be/9m4W13vTjxk
"DepOwl: Detecting Dependency Bugs to Prevent Compatibility Failures",,"['Zhouyang Jia', 'Shanshan Li', 'Tingting Yu', 'Zeng Chen', 'Erci Xu', 'Xiaodong Liu', 'Ji Wang', 'Xiangke Liao']",2021.10,43rd IEEE/ACM International Conference on Software Engineering,ICSE'21 (CCF-A),https://ieeexplore.ieee.org/abstract/document/9402138,"https://github.com/ZhouyangJia/DepOwl
",,,
"Write Dependency Disentanglement with HORAE",,"['Xiaojian Liao', 'Youyou Lu', 'Erci Xu', 'Jiwu Shu']",2020.6,14th USENIX Symposium on Operating Systems Design and Implementation,OSDI'20 (CCF-A),https://www.usenix.org/system/files/osdi20-liao.pdf,,,https://www.usenix.org/sites/default/files/conference/protected-files/osdi20_slides_liao.pdf,https://youtu.be/PoHZ84DVvbk
"CP-Detector: Using Configuration-related Performance Properties to Expose Performance Bugs",,"['Haochen He', 'Zhouyang Jia', 'Shanshan Li', 'Erci Xu', 'Tingting Yu', 'Yue Yu', 'Ji Wang', 'Xiangke Liao']",2020.4,35th IEEE/ACM International Conference on Automated Software Engineering,ASE'20 (CCF-A),https://ieeexplore.ieee.org/abstract/document/9286052,https://github.com/TimHe95/CP-Detector,,,
"CoinPurse: A Device-Assisted File System with Dual Interfaces",,"['Zhe Yang', 'Youyou Lu', 'Erci Xu', 'Jiwu Shu']",2020.11,57th ACM/IEEE Design Automation Conference,DAC'20 (CCF-A),https://ieeexplore.ieee.org/abstract/document/9218679,,,,
"Lessons and Actions: What We Learned from 10K SSD-Related Storage System Failures",CCF Storage Distinguished Paper Award,"['Erci Xu', 'Mai Zheng', 'Feng Qin', 'Yikang Xu', 'Jiesheng Wu']",2019.7,2019 USENIX Annual Technical Conference,ATC'19 (CCF-A),https://www.usenix.org/conference/atc19/presentation/xu,,,https://www.usenix.org/sites/default/files/conference/protected-files/atc19_slides_lt_xu.pdf,https://youtu.be/3tZbxf22glM
"Understanding SSD Reliability in Large-Scale Cloud Systems",,"['Erci Xu', 'Mai Zheng', 'Feng Qin', 'Jiesheng Wu', 'Yikang Xu']",2018.12,"3rd IEEE/ACM International Workshop on Parallel Data Storage & Data Intensive Scalable Computing Systems ",PDSW-DISCS'18,https://ieeexplore.ieee.org/document/8638427,,,,
"Neutrino: Revisiting Memory Caching for Iterative Data Analytics",,"['Erci Xu', 'Mohit Saxena', 'Lawrence Chiu']",2016.7,8th USENIX Workshop on Hot Topics in Storage and File Systems,HotStorage'16,https://www.usenix.org/conference/hotstorage16/workshop-program/presentation/xu,,,https://www.usenix.org/sites/default/files/conference/protected-files/hotstorage16_slides_xu.pdf,
